timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763344017009,2055,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-2,text,true,,2493,329,20,38,http://localhost:5173/api/cursos,2055,0,33
1763344016893,2177,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-18,text,true,,1800,224,20,38,http://localhost:8080/usuarios/login,2176,0,21
1763344019070,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-18,text,true,,1131,0,20,38,null,0,0,0
1763344016748,2333,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-39,text,true,,669,224,18,38,http://localhost:8080/usuarios/login,2333,0,1
1763344016746,2336,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-38,text,true,,669,224,17,37,http://localhost:8080/usuarios/login,2336,0,0
1763344016432,2668,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-9,text,true,,1799,224,20,36,http://localhost:8080/usuarios/login,2667,0,1
1763344019100,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-9,text,true,,1130,0,20,36,null,0,0,0
1763344017777,1337,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-3,text,true,,2493,329,20,36,http://localhost:5173/api/cursos,1337,0,1
1763344016319,2813,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-17,text,true,,669,224,16,36,http://localhost:8080/usuarios/login,2813,0,1
1763344016764,2370,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-40,text,true,,669,224,15,35,http://localhost:8080/usuarios/login,2370,0,11
1763344016339,2815,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-18,text,true,,669,224,14,34,http://localhost:8080/usuarios/login,2815,0,1
1763344016942,2257,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-48,text,true,,669,224,13,33,http://localhost:8080/usuarios/login,2257,0,12
1763344016521,2723,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-11,text,true,,1800,224,20,32,http://localhost:8080/usuarios/login,2722,0,0
1763344019244,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-11,text,true,,1131,0,20,32,null,0,0,0
1763344019065,159,GET - /api/usuarios,200,OK,FE - 20 RPS (Page Load) 2-2,text,true,,4859,331,20,32,http://localhost:5173/api/usuarios,153,0,24
1763344016597,2651,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-12,text,true,,1800,224,20,32,http://localhost:8080/usuarios/login,2634,0,1
1763344019248,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-12,text,true,,1131,0,20,32,null,0,0,0
1763344016676,2583,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-14,text,true,,1799,224,20,35,http://localhost:8080/usuarios/login,2471,0,0
1763344019157,102,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-14,text,true,,1130,0,20,32,null,0,0,0
1763344016755,2560,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-15,text,true,,1800,224,20,35,http://localhost:8080/usuarios/login,2389,0,1
1763344019144,171,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-15,text,true,,1131,0,20,32,null,0,0,0
1763344019115,208,GET - /api/usuarios,200,OK,FE - 20 RPS (Page Load) 2-3,text,true,,4859,331,20,32,http://localhost:5173/api/usuarios,208,0,0
1763344016705,2649,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-36,text,true,,669,224,12,32,http://localhost:8080/usuarios/login,2649,0,0
1763344017677,1692,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-6,text,true,,2493,329,20,31,http://localhost:5173/api/cursos,1692,0,0
1763344016710,2687,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-35,text,true,,669,224,11,31,http://localhost:8080/usuarios/login,2687,0,0
1763344016563,2846,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-30,text,true,,669,224,10,30,http://localhost:8080/usuarios/login,2838,0,4
1763344016882,2547,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-45,text,true,,669,224,9,29,http://localhost:8080/usuarios/login,2547,0,16
1763344016914,2526,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-46,text,true,,669,224,8,28,http://localhost:8080/usuarios/login,2526,0,1
1763344016650,2791,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-33,text,true,,669,224,8,28,http://localhost:8080/usuarios/login,2789,0,2
1763344016787,2673,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-41,text,true,,669,224,6,26,http://localhost:8080/usuarios/login,2673,0,0
1763344019370,98,GET - /api/usuarios,200,OK,FE - 20 RPS (Page Load) 2-6,text,true,,4859,331,20,26,http://localhost:5173/api/usuarios,94,0,0
1763344016979,2481,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-20,text,true,,1800,224,20,26,http://localhost:8080/usuarios/login,2480,0,2
1763344019459,1,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-20,text,true,,1131,0,20,26,null,0,0,0
1763344016519,2966,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-27,text,true,,669,224,5,25,http://localhost:8080/usuarios/login,2966,0,0
1763344017065,2431,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-5,text,true,,2493,329,20,24,http://localhost:5173/api/cursos,2431,0,1
1763344016528,2972,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-28,text,true,,669,224,4,24,http://localhost:8080/usuarios/login,2972,0,1
1763344016992,2510,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-50,text,true,,669,224,4,24,http://localhost:8080/usuarios/login,2510,0,22
1763344016586,2919,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-31,text,true,,669,224,2,22,http://localhost:8080/usuarios/login,2919,0,0
1763344016842,2668,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-43,text,true,,669,224,1,21,http://localhost:8080/usuarios/login,2666,0,15
1763344017307,2255,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-13,text,true,,2493,329,20,20,http://localhost:5173/api/cursos,2252,0,9
1763344019497,88,GET - /api/usuarios,200,OK,FE - 20 RPS (Page Load) 2-5,text,true,,4859,331,20,20,http://localhost:5173/api/usuarios,88,0,15
1763344018912,711,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-17,text,true,,2493,329,20,20,http://localhost:5173/api/cursos,708,0,4
1763344018777,859,GET - /api/cursos),200,OK,FE - 20 RPS (Page Load) 2-16,text,true,,2493,329,20,20,http://localhost:5173/api/cursos,859,0,3
1763344019247,405,GET - /api/materiais,200,OK,FE - 20 RPS (Page Load) 2-2,text,true,,3219,332,20,20,http://localhost:5173/api/materiais,405,0,1
1763344019563,96,GET - /api/usuarios,200,OK,FE - 20 RPS (Page Load) 2-13,text,true,,4859,331,19,19,http://localhost:5173/api/usuarios,90,0,0
1763344019323,349,GET - /api/materiais,200,OK,FE - 20 RPS (Page Load) 2-3,text,true,,3219,332,19,19,http://localhost:5173/api/materiais,349,0,1
1763344019641,54,GET - /api/usuarios,200,OK,FE - 20 RPS (Page Load) 2-16,text,true,,4859,331,18,18,http://localhost:5173/api/usuarios,53,0,11
